,vaga,empresa,localizacao,salario,dataPostagem,dataRaspagem,requisitos,job_url
0,PHP Web Developer,Numinix Web Development Ltd.,"São Paulo, SP",R$ 8.000 - R$ 12.000 por mês,EmployerAtiva 2 dias atrás,2022-05-06,"Provide technical leadership, feedback and mentorship to mid-level and junior developer.*Work within a cross-functional product team to execute the roadmap…",https://www.br.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BFANyWBSOsZH002SzR5mQWS6dWhvxFY9GDErRpvQR2sishiwHQXgG2jL57kbWRi5FsabhlDJ-lwcELNvubg7uO7YfydIkpmHfaS2SO0OzsHnxyun1sGlVch5e5-mNLFQY75F-6XFvGOWG3V_p8SuuOAXCK4_D2jyUtXWmpORX9fQF8ZnfltXbmusmWq-yjvg5bkUel3vvDasZ_Zp5nsx5vs-ARvRVL9QjknBA2AzdwYxystZ-Or-ST3bvABHSRPLIhH_aKyI4eRVz4HMUxG881n25209f8djLA7V6VeR5jESXZRUh4uRPJKaLgepNbx27yu6FkIbGVdhrGtDcdkx-SjdnHvqsGU_m6e7DYgy1OlfvUUKBjjFYCQCak4bFBVMuWYAocLZn1j8pPZygZ_v7eGwRz3fppEIPnI-TtmYesb2o9qkMmBvjZ1APCD5ucxVHKpDa7ssaNJXE1NRwq27dNw00QfWf5Lf8=&p=0&fvj=1&vjs=3
1,Desenvolvedor Back-End Junior,Esferas Software,"São Paulo, SP",R$ 3.000 por mês,PostedRecém publicada,2022-05-06,"Sistema híbrido (geralmente 1 vez por semana presencial na Vila Olímpia, São Paulo - SP).Desenvolver novas funcionalidades nas aplicações.",https://www.br.indeed.com/company/Esferas-Software/jobs/Desenvolvedor-Back-End-Junior-c67677dbd1ba797f?fccid=36e419d01e34ff6e&vjs=3
2,Programador PHP PLENO,Maxnivel Tecnologia Ltda,"Home office in São Paulo, SP",R$ 6.000 - R$ 8.000 por mês,EmployerAtiva 7 dias atrás,2022-05-06,Experiência em php e mysql javascript orientação a objeto.Atuação em atividades de programação de software.,https://www.br.indeed.com/company/Maxnivel-Tecnologia-Ltda/jobs/Programador-PHP-Pleno-b7f0c654593af7b0?fccid=ed27e511a224a841&vjs=3
3,Desenvolvedor,TradeUp Group,"Barueri, SP",R$ 2.500 - R$ 8.500 por mês,PostedRecém publicada,2022-05-06,Experiência como desenvolvedor ao menos por 6 anos.Vue.js + ecossistema Vue (avançado).,https://www.br.indeed.com/company/TradeUp-Group/jobs/Desenvolvedor-741245da4a3d03ca?fccid=04103f043bf90d81&vjs=3
4,Analista de Desenvolvimento,GRUPO MAIS VALOR,"São Paulo, SP",R$ 3.000 - R$ 6.000 por mês,Postedhá 2 dias,2022-05-06,"NECESSÁRIO: Superior completo ou cursando na área de TI e nível intermediário em javascript, PHP e MySQL.CONHECIMENTO: PHP 7.4, Javascript, HTML, CSS, MySQL …",https://www.br.indeed.com/company/Grupo-Mais-Valor/jobs/Analista-Desenvolvimento-69a2779076b68f1c?fccid=17140619002d0982&vjs=3
5,Desenvolvedor PHP React,Clubedodev,"Home office in Barueri, SP",R$ 3.000 - R$ 8.000 por mês,EmployerAtiva 15 dias atrás,2022-05-06,Conhecimentos em React e React native será diferencial para evolução e promoções futuras.,https://www.br.indeed.com/company/Clubedodev/jobs/Desenvolvedor-PHP-React-f6961518bb3fc8e5?fccid=3eae11ed3cd3f1a4&vjs=3
6,Desenvolvedor(a) Web,Agência Upper,"São Paulo, SP",R$ 4.000 - R$ 5.000 por mês,PostedHoje,2022-05-06,"Venha fazer parte da nossa equipe!Procuramos profissionais para trabalhar em projetos desenvolvidos em PHP, React Native, JS, CSS, Laravel e HTML.",https://www.br.indeed.com/rc/clk?jk=cde398d3378f693f&fccid=ac0a18a060847670&vjs=3
7,Pessoa Desenvolvedora Back-end PHP,Webjump,"Home office in São Paulo, SP",,Postedhá 8 dias,2022-05-06,Disposição para ensinar o que sabe e aprender coisas novas;,https://www.br.indeed.com/rc/clk?jk=6f51a7424744349d&fccid=55e0ac93fb8b211b&vjs=3
8,UX/UI Designer,Somosotech IT Co Limited,"Home office temporário in São Paulo, SP",R$ 6.500 - R$ 8.000 por mês,PostedHoje,2022-05-06,"We are* looking for a *UX/UI Designer, who is super familiar with WordPress* to turn our websites and plugins into easy-to-use products for our clients.",https://www.br.indeed.com/company/Somosotech-IT-Co-Limited/jobs/Ux-Ui-Designer-c5ae20b334ee32dc?fccid=9f270b4ac4973530&vjs=3
9,Desenvolvedor(a) PHP,DOT digital group,"Home office in São Paulo, SP",,Postedhá 29 dias,2022-05-06,Desenvolvimento de sistemas e portais; Desenvolvimento de integração com sistemas já existentes; Criação de micro-serviços; Integração com diferentes bases de…,https://www.br.indeed.com/rc/clk?jk=1573714ed4389f8c&fccid=5bda41898503d8c4&vjs=3
